Acq_daten;Year
2000;60
2001;1136
2002;419
2003;2139
2004;2487
2005;1728
2006;972
2007;1184
2008;2570
2009;2187
2010;925
2011;998
2012;740
2013;1003
2014;2510
2015;1203
2016;1646
2017;935
2018;2075
2019;1815
2020;1173
2021;1606
2022;728
